word,year_quarter,n,total,tf,idf,tf_idf
орынбасар_noun,2021_Q_4,13,5933,0.008312020460358057,3.4965075614664802,0.02906304239070604
басқ_noun,2021_Q_4,16,5933,0.010230179028132993,2.803360380906535,0.02867887857704895
вакцинаса_noun,2021_Q_4,16,5933,0.010230179028132993,2.803360380906535,0.02867887857704895
№126_adj,2022_Q_1,19,3629,0.01794145420207743,3.4965075614664802,0.06273243028126829
науқас_noun,2022_Q_1,40,3629,0.03777148253068933,1.550597412411167,0.05856836307502047
актуальный_adj,2022_Q_1,38,3629,0.03588290840415486,1.550597412411167,0.055639944921269446
выпуск_noun,2022_Q_1,37,3629,0.03493862134088763,1.550597412411167,0.05417573584439393
шетелдік_noun,2022_Q_1,16,3629,0.015108593012275733,3.4965075614664802,0.052827309710541726
ұсталда_noun,2022_Q_1,16,3629,0.015108593012275733,3.4965075614664802,0.052827309710541726
жағдайа_noun,2022_Q_1,38,3629,0.03588290840415486,1.4170660197866443,0.050848450190644455
ауыр_noun,2022_Q_1,41,3629,0.03871576959395656,1.2992829841302609,0.0503027406509355
алуғ_noun,2022_Q_1,15,3629,0.014164305949008499,3.4965075614664802,0.04952560285363287
басып_noun,2022_Q_1,15,3629,0.014164305949008499,3.4965075614664802,0.04952560285363287
тәртіпсіздіктер_noun,2022_Q_1,15,3629,0.014164305949008499,3.4965075614664802,0.04952560285363287
қала_verb,2022_Q_1,15,3629,0.014164305949008499,3.4965075614664802,0.04952560285363287
қатысқан_verb,2022_Q_1,15,3629,0.014164305949008499,3.4965075614664802,0.04952560285363287
әкімдігіть_noun,2022_Q_1,15,3629,0.014164305949008499,3.4965075614664802,0.04952560285363287
интересный_adj,2022_Q_1,36,3629,0.0339943342776204,1.4170660197866443,0.048172215970084226
дауд_noun,2022_Q_2,12,1622,0.06315789473684211,3.4965075614664802,0.22083205651367244
жеңіска_noun,2022_Q_2,12,1622,0.06315789473684211,3.4965075614664802,0.22083205651367244
компаниямен_noun,2022_Q_2,12,1622,0.06315789473684211,3.4965075614664802,0.22083205651367244
интересный_adj,2022_Q_2,20,1622,0.10526315789473684,1.4170660197866443,0.1491648441880678
актуальный_adj,2022_Q_2,16,1622,0.08421052631578947,1.550597412411167,0.13057662420304564
выпуск_noun,2022_Q_2,16,1622,0.08421052631578947,1.550597412411167,0.13057662420304564
бойынша_noun,2022_Q_2,20,1622,0.10526315789473684,0.723918839226699,0.07620198307649463
қарс_noun,2022_Q_2,12,1622,0.06315789473684211,1.1939224684724346,0.07540562958773271
турал_noun,2022_Q_2,12,1622,0.06315789473684211,1.0116009116784799,0.06389058389548294
мный_noun,2022_Q_2,16,1622,0.08421052631578947,0.723918839226699,0.060961586461195705
коронавирус_noun,2022_Q_2,15,1622,0.07894736842105263,0.6632942174102642,0.0523653329534419
ад_noun,2022_Q_2,11,1622,0.05789473684210526,0.6632942174102642,0.0384012441658574
мочь_verb,2022_Q_2,16,1622,0.08421052631578947,0.3184537311185346,0.0268171563047187
бас_noun,2022_Q_3,13,1906,0.10483870967741936,1.7047480922384253,0.1787235903153188
актуальный_adj,2022_Q_3,13,1906,0.10483870967741936,1.550597412411167,0.16256263194633203
выпуск_noun,2022_Q_3,13,1906,0.10483870967741936,1.550597412411167,0.16256263194633203
интересный_adj,2022_Q_3,14,1906,0.11290322580645161,1.4170660197866443,0.1599913248146211
ад_noun,2022_Q_3,22,1906,0.1774193548387097,0.6632942174102642,0.11768123212117591
жәна_noun,2022_Q_3,16,1906,0.12903225806451613,0.7884573603642703,0.10173643359538971
бойынша_noun,2022_Q_3,13,1906,0.10483870967741936,0.723918839226699,0.07589471701570231
мочь_verb,2022_Q_3,20,1906,0.16129032258064516,0.3184537311185346,0.05136350501911848
жағдайа_noun,2022_Q_4,52,3184,0.0463871543264942,1.4170660197866443,0.06573366015067394
ауыр_noun,2022_Q_4,55,3184,0.04906333630686887,1.2992829841302609,0.06374715800817515
науқас_noun,2022_Q_4,46,3184,0.04103479036574487,1.550597412411167,0.06362843975995869
адамнан_noun,2022_Q_4,26,3184,0.0231935771632471,2.3978952727983707,0.055615769039034466
өть_verb,2022_Q_4,25,3184,0.02230151650312221,2.3978952727983707,0.0534767009990716
актуальный_adj,2022_Q_4,38,3184,0.03389830508474576,1.550597412411167,0.052562624149531084
выпуск_noun,2022_Q_4,38,3184,0.03389830508474576,1.550597412411167,0.052562624149531084
қабылдауд_noun,2022_Q_4,24,3184,0.021409455842997322,2.3978952727983707,0.05133763295910874
желтоқсандаға_noun,2022_Q_4,15,3184,0.013380909901873328,3.4965075614664802,0.046786452651201786
интересный_adj,2022_Q_4,36,3184,0.032114183764495985,1.4170660197866443,0.0455079185658512
ий_noun,2022_Q_4,24,3184,0.021409455842997322,2.1102132003465894,0.04517851633213037
стационард_noun,2022_Q_4,26,3184,0.0231935771632471,1.8870696490323797,0.04376789551725412
коронавирус_noun,2022_Q_4,72,3184,0.06422836752899197,0.6632942174102642,0.042602304775681554
кви_noun,2022_Q_4,22,3184,0.019625334522747548,2.1102132003465894,0.041413639971119506
инфекциясынан_noun,2022_Q_4,19,3184,0.01694915254237288,2.3978952727983707,0.040642292759294416
науқас_noun,2023_Q_1,43,2403,0.04673913043478261,1.550597412411167,0.07247357471052193
жағдайа_noun,2023_Q_1,42,2403,0.04565217391304348,1.4170660197866443,0.06469214438156419
